생일,남/여,개인/법인,특화여부,대구/그외,지원사업명,지원금액,정부지원,지자체지원,센터지원,기타지원,복합지원,사업화지원,마케팅지원,멘토링컨설팅,판로지원,당년매출액,당년고용,당년직원,당년투자금액,후년매출액,후년고용,후년직원,후년투자금액
0.50420 ,1,0,0,1,중견기업스핀오프지원사업,25000000,0,1,0,0,0,0,0,0,0,0 ,0 ,0 ,0 ,140000000 ,0 ,1 ,0 
0.78764 ,1,1,1,1,대구의료창업및취업지원사업,30000000,1,0,0,0,0,0,0,0,0,0 ,2 ,2 ,0 ,0 ,1 ,2 ,0 
0.38959 ,1,0,0,1,2018지역기업혁신역량강화사업,33000000,1,0,0,0,0,0,0,0,0,1895517694 ,22 ,25 ,200000000 ,4419495669 ,10 ,30 ,0 
0.73600 ,1,0,1,1,소셜벤처육성사업,32000000,1,0,0,0,0,0,0,0,0,1720000000 ,3 ,18 ,0 ,2147466215 ,10 ,28 ,
0.52357 ,1,0,1,1,2018 대구스타벤처육성사업,80000000,0,1,0,0,0,0,0,0,0,297635126 ,19 ,24 ,0 ,1790379602 ,22 ,39 ,1150013200 
0.52357 ,1,0,1,1,크라우드펀딩지원사업,10000000,0,1,0,0,0,0,0,0,0,297635126 ,19 ,24 ,0 ,1790379602 ,22 ,39 ,1150013200 
0.52357 ,1,0,1,1,C-LAB 직접지원,8754900,0,0,1,0,0,0,0,0,0,297635126 ,19 ,24 ,0 ,1790379602 ,22 ,39 ,1150013200 
0.52357 ,1,0,1,1,C-LAB 직접지원,4400000,0,0,1,0,0,0,0,0,0,297635126 ,19 ,24 ,0 ,1790379602 ,22 ,39 ,1150013200 
0.51552 ,1,0,0,1,2018년 시제품제작 지원사업,8800000,0,0,1,0,0,0,0,0,0,448000000 ,5 ,7 ,1826000000 ,1035307563 ,4 ,10 ,182807932 
0.51552 ,1,0,0,1,C-LAB 직접지원,4389000,0,0,1,0,0,0,0,0,0,448000000 ,5 ,7 ,1826000000 ,1035307563 ,4 ,10 ,182807932 
0.51552 ,1,0,0,1,C-LAB 직접지원,2970000,0,0,1,0,0,0,0,0,0,448000000 ,5 ,7 ,1826000000 ,1035307563 ,4 ,10 ,182807932 
0.17750 ,1,0,1,1,대구의료창업및취업지원사업,20000000,1,0,0,0,0,0,0,0,0,353529680 ,1 ,3 ,0 ,542737000 ,2 ,4 ,
0.74828 ,0,0,0,1,대구의료창업및취업지원사업,30000000,1,0,0,0,0,0,0,0,0,200000000 ,2 ,3 ,0 ,538000000 ,1 ,3 ,
0.48625 ,0,0,1,1,2018년 시제품제작 지원사업,8800000,0,0,1,0,0,0,0,0,0,169407270 ,1 ,5 ,30000000 ,506362000 ,6 ,9 ,0 
0.83771 ,1,0,0,1,크라우드펀딩지원사업,10000000,0,1,0,0,0,0,0,0,0,294000000 ,0 ,11 ,0 ,500000000 ,3 ,5 ,0 
0.26898 ,1,0,0,1,중견기업스핀오프지원사업,25000000,0,1,0,0,0,0,0,0,0,86889000 ,0 ,1 ,0 ,460000000 ,0 ,1 ,0 
0.53332 ,1,0,0,1,소셜벤처육성사업,32000000,1,0,0,0,0,0,0,0,0,86978608 ,2 ,8 ,0 ,382431902 ,5 ,12 ,100000000 
0.64923 ,1,0,0,1,2018 대구스타벤처육성사업,80000000,0,1,0,0,0,0,0,0,0,52000000 ,10 ,15 ,300000000 ,361305919 ,3 ,10 ,0 
0.64923 ,1,0,0,1,C-LAB 직접지원,4000000,0,0,1,0,0,0,0,0,0,52000000 ,10 ,15 ,300000000 ,361305919 ,3 ,10 ,0 
0.53510 ,0,0,0,1,글로벌 액셀러레이팅 캠퍼스,0,0,0,1,0,0,0,0,0,0,160000000 ,0 ,4 ,0 ,300000000 ,3 ,9 ,700000000 
0.70776 ,1,0,0,1,크라우드펀딩지원사업,10000000,0,1,0,0,0,0,0,0,0,266000000 ,2 ,6 ,0 ,280000000 ,3 ,6 ,62500000 
0.70776 ,1,0,0,1,2018지역기업혁신역량강화사업,33000000,1,0,0,0,0,0,0,0,0,266320000 ,2 ,6 ,0 ,280000000 ,3 ,6 ,62500000 
0.26680 ,1,0,0,1,2018 대구리더스포럼 엔젤투자 활성화 지원,100000000,0,1,0,1,0,0,0,0,0,847567829 ,0 ,9 ,100000000 ,233651061 ,0 ,2 ,300000000 
0.63510 ,1,0,0,1,2018 대구리더스포럼 엔젤투자 활성화 지원,30000000,0,1,0,1,0,0,0,0,0,178463786 ,4 ,13 ,260000000 ,165545576 ,10 ,17 ,430075600 
0.63510 ,1,0,0,1,2018년 시제품제작 지원사업,8800000,0,0,1,0,0,0,0,0,0,178463786 ,4 ,13 ,260000000 ,165545576 ,10 ,17 ,430075600 
0.26844 ,1,0,0,1,2018 대구스타벤처육성사업,80000000,0,1,0,0,0,0,0,0,0,0 ,3 ,4 ,0 ,160807650 ,0 ,4 ,80080000 
0.26844 ,1,0,0,1,C-LAB 직접지원,3061700,0,0,1,0,0,0,0,0,0,0 ,3 ,4 ,0 ,160807650 ,0 ,4 ,80080000 
0.63388 ,1,1,0,1,대구의료창업및취업지원사업,30000000,1,0,0,0,0,0,0,0,0,57000000 ,2 ,4 ,0 ,158305900 ,3 ,4 ,
0.54363 ,1,1,0,1,소셜벤처육성사업,24000000,1,0,0,0,0,0,0,0,0,120000000 ,3 ,3 ,0 ,150000000 ,1 ,1 ,0 
0.41224 ,1,0,0,1,대구의료창업및취업지원사업,10000000,1,0,0,0,0,0,0,0,0,33000000 ,2 ,4 ,380000000 ,147000000 ,8 ,10 ,400000000 
0.19544 ,1,0,0,1,2018 대구리더스포럼 엔젤투자 활성화 지원,100000000,0,1,0,1,0,0,0,0,0,105288355 ,2 ,9 ,100000000 ,103728660 ,0 ,6 ,100000000 
0.73736 ,1,0,0,1,대구의료창업및취업지원사업,60000000,1,0,0,0,0,0,0,0,0,37000000 ,5 ,5 ,0 ,102000000 ,5 ,,
0.04366 ,1,0,0,1,2018 대구리더스포럼 엔젤투자 활성화 지원,25000000,0,1,0,1,0,0,0,0,0,48720000 ,0 ,6 ,125000000 ,60000000 ,0 ,1 ,0 
0.65496 ,1,0,1,1,대구의료창업및취업지원사업,40000000,1,0,0,0,0,0,0,0,0,191000000 ,4 ,5 ,0 ,60000000 ,2 ,5 ,150000000 
0.00000 ,1,0,0,1,대구의료창업및취업지원사업,30000000,1,0,0,0,0,0,0,0,0,30000000 ,5 ,5 ,100000000 ,31253000 ,5 ,8 ,0 
0.38782 ,1,0,0,1,2018 대구리더스포럼 엔젤투자 활성화 지원,99760000,0,1,0,1,0,0,0,0,0,0 ,3 ,1 ,199520000 ,18294547 ,2 ,3 ,
0.73266 ,1,0,0,1,소셜벤처육성사업,32000000,1,0,0,0,0,0,0,0,0,350000000 ,4 ,4 ,0 ,8858310 ,6 ,10 ,0 
0.53912 ,1,0,0,1,C-LAB 직접지원,8693300,0,0,1,0,0,0,0,0,0,5283282 ,0 ,3 ,200000000 ,435600 ,0 ,3 ,0 
0.53912 ,1,0,0,1,C-LAB 직접지원,8693300,0,0,1,0,0,0,0,0,0,5283282 ,0 ,3 ,200000000 ,435600 ,0 ,3 ,0 
0.23685 ,1,0,0,1,2018 대구리더스포럼 엔젤투자 활성화 지원,49862000,0,1,0,1,0,0,0,0,0,0 ,4 ,5 ,100190000 ,0 ,2 ,3 ,234666000 
0.16597 ,1,0,0,1,중견기업스핀오프지원사업,25000000,0,1,0,0,0,0,0,0,0,0 ,1 ,2 ,0 ,0 ,0 ,0 ,0 
0.47943 ,1,0,0,1,2018 대구스타벤처육성사업,80000000,0,1,0,0,0,0,0,0,0,2874000000 ,11 ,22 ,0 ,,,,
0.42056 ,1,0,0,1,2018 대구스타벤처육성사업,80000000,0,1,0,0,0,0,0,0,0,4347000000 ,0 ,13 ,0 ,,,,
0.87973 ,1,0,0,1,크라우드펀딩지원사업,10000000,0,1,0,0,0,0,0,0,0,20000000 ,0 ,1 ,0 ,,,,
0.60748 ,1,0,0,1,중견기업스핀오프지원사업,5000000,0,1,0,0,0,0,0,0,0,0 ,0 ,1 ,0 ,,,,
0.06808 ,1,0,0,1,2018지역기업혁신역량강화사업,33000000,1,0,0,0,0,0,0,0,0,4273694885 ,13 ,13 ,0 ,,,,
0.16058 ,1,0,0,1,소셜벤처육성사업,32000000,1,0,0,0,0,0,0,0,0,793138863 ,6 ,9 ,0 ,,,,
0.36640 ,1,0,0,1,2018지역기업혁신역량강화사업,33000000,1,0,0,0,0,0,0,0,0,255770000 ,5 ,5 ,500000000 ,,,,
0.90893 ,0,0,0,1,소셜벤처육성사업,24000000,1,0,0,0,0,0,0,0,0,90533398 ,3 ,5 ,0 ,,,,
0.67795 ,1,0,0,1,소셜벤처육성사업,24000000,1,0,0,0,0,0,0,0,0,22111004 ,3 ,4 ,99800000 ,,,,
0.89713 ,1,1,0,1,소셜벤처육성사업,32000000,1,0,0,0,0,0,0,0,0,0 ,4 ,4 ,0 ,,,,
0.76485 ,1,1,0,1,소셜벤처육성사업,32000000,1,0,0,0,0,0,0,0,0,55622000 ,4 ,4 ,0 ,,,,
0.83757 ,1,1,0,1,소셜벤처육성사업,32000000,1,0,0,0,0,0,0,0,0,0 ,4 ,4 ,10000000 ,,,,
0.91623 ,1,1,0,1,소셜벤처육성사업,32000000,1,0,0,0,0,0,0,0,0,60000000 ,4 ,4 ,71000000 ,,,,
0.87509 ,1,1,0,1,소셜벤처육성사업,24000000,1,0,0,0,0,0,0,0,0,70219223 ,3 ,4 ,0 ,,,,
0.81356 ,1,1,0,1,소셜벤처육성사업,24000000,1,0,0,0,0,0,0,0,0,100000000 ,3 ,4 ,0 ,,,,
0.58960 ,0,1,0,1,소셜벤처육성사업,32000000,1,0,0,0,0,0,0,0,0,0 ,4 ,4 ,0 ,,,,
0.38304 ,1,0,0,1,2018지역기업혁신역량강화사업,33000000,1,0,0,0,0,0,0,0,0,81884801 ,3 ,3 ,850000000 ,,,,
0.91125 ,1,1,0,1,소셜벤처육성사업,24000000,1,0,0,0,0,0,0,0,0,22000000 ,3 ,3 ,0 ,,,,
0.62317 ,1,1,0,1,대구의료창업및취업지원사업,15000000,1,0,0,0,0,0,0,0,0,0 ,2 ,3 ,0 ,,,,
0.69057 ,1,0,0,1,2018지역기업혁신역량강화사업,33000000,1,0,0,0,0,0,0,0,0,1134468749 ,2 ,2 ,0 ,,,,
1.00000 ,1,1,0,1,소셜벤처육성사업,16000000,1,0,0,0,0,0,0,0,0,0 ,2 ,2 ,0 ,,,,
0.70182 ,1,1,0,1,소셜벤처육성사업,24000000,1,0,0,0,0,0,0,0,0,815857 ,2 ,2 ,24000000 ,,,,
0.35623 ,1,0,0,1,2018지역기업혁신역량강화사업,33000000,1,0,0,0,0,0,0,0,0,0 ,0 ,1 ,0 ,,,,
0.34184 ,1,0,0,1,2018지역기업혁신역량강화사업,33000000,1,0,0,0,0,0,0,0,0,305365206 ,1 ,1 ,200000000 ,,,,
0.58401 ,0,0,0,1,2018지역기업혁신역량강화사업,33000000,1,0,0,0,0,0,0,0,0,42053500 ,1 ,1 ,0 ,,,,
0.59745 ,1,0,0,0,C-LAB 직접지원,3999600,0,0,1,0,0,0,0,0,0,1500000000 ,7 ,29 ,0 ,,,,
0.38304 ,1,0,0,0,C-LAB 직접지원,4400000,0,0,1,0,0,0,0,0,0,61000000 ,3 ,20 ,0 ,,,,
0.32390 ,1,0,0,0,C-LAB 직접지원,6690000,0,0,1,0,0,0,0,0,0,244000000 ,3 ,13 ,0 ,,,,
0.68763 ,1,0,0,0,C-LAB 직접지원,5280000,0,0,1,0,0,0,0,0,0,100000000 ,2 ,13 ,0 ,,,,
0.39423 ,1,0,0,0,C-LAB 직접지원,1408000,0,0,1,0,0,0,0,0,0,122000000 ,3 ,10 ,0 ,,,,
0.71233 ,1,0,0,1,C-LAB 직접지원,4000000,0,0,1,0,0,0,0,0,0,0 ,2 ,5 ,0 ,,,,
0.52732 ,1,0,0,1,2018년 시제품제작 지원사업,8800000,0,0,1,0,0,0,0,0,0,50000000 ,4 ,4 ,0 ,,,,
0.86527 ,1,0,0,1,2018년 시제품제작 지원사업,6400000,0,0,1,0,0,0,0,0,0,1500000 ,2 ,3 ,30000000 ,,,,
0.89897 ,0,0,0,0,C-LAB 직접지원,8162000,0,0,1,0,0,0,0,0,0,20000000 ,1 ,3 ,0 ,,,,
0.26673 ,1,0,0,1,C-LAB 직접지원,7920000,0,0,1,0,0,0,0,0,0,108000000 ,1 ,3 ,0 ,,,,
0.86527 ,1,0,0,1,C-LAB 직접지원,2640000,0,0,1,0,0,0,0,0,0,1500000 ,2 ,3 ,0 ,,,,
0.82714 ,1,0,0,0,C-LAB 직접지원,4000000,0,0,1,0,0,0,0,0,0,0 ,0 ,3 ,0 ,,,,
0.88499 ,0,0,0,1,C-LAB 직접지원,4500000,0,0,1,0,0,0,0,0,0,0 ,2 ,2 ,0 ,,,,
0.35207 ,1,1,0,1,2018년 시제품제작 지원사업,8800000,0,0,1,0,0,0,0,0,0,86292000 ,0 ,1 ,0 ,,,,
0.35623 ,1,0,0,1,지역혁신생태계구축사업,4000000,0,0,1,0,0,0,0,0,0,0 ,0 ,1 ,0 ,,,,
0.59520 ,1,0,0,0,크라우드펀딩지원사업,10000000,0,1,0,0,0,0,0,0,0,0 ,,,,589000000 ,2 ,13 ,
0.82243 ,1,0,0,0,크라우드펀딩지원사업,10000000,0,1,0,0,0,0,0,0,0,0 ,,,,100000000 ,2 ,7 ,
0.58749 ,1,0,0,1,크라우드펀딩지원사업,10000000,0,1,0,0,0,0,0,0,0,0 ,,,,160000000 ,0 ,6 ,
0.04366 ,1,0,0,1,크라우드펀딩지원사업,10000000,0,1,0,0,0,0,0,0,0,0 ,,,,48720000 ,0 ,6 ,125000000 
0.45910 ,1,1,0,1,크라우드펀딩지원사업,10000000,0,1,0,0,0,0,0,0,0,0 ,,,,15000000 ,0 ,1 ,
0.55515 ,1,0,1,1,크라우드펀딩지원사업,10000000,0,1,0,0,0,0,0,0,0,4000000 ,1 ,3 ,,18000000 ,,2 ,60000000 
0.32390 ,1,0,0,0,2017년 시제품제작 지원사업,8800000,0,0,1,0,0,0,0,0,0,0 ,,,,674943792 ,4 ,13 ,3300000000 
0.17593 ,1,0,0,1,2017년 시제품제작 지원사업,6400000,0,0,1,0,0,0,0,0,0,0 ,,,,1100000000 ,0 ,4 ,0 
0.90845 ,0,0,0,1,크라우드펀딩지원사업,10000000,0,1,0,0,0,0,0,0,0,0 ,,,,18000000 ,0 ,3 ,
0.57412 ,1,0,0,1,2017년 시제품제작 지원사업,8800000,0,0,1,0,0,0,0,0,0,0 ,,,,54000000 ,1 ,2 ,10000000 
0.68845 ,1,0,0,1,크라우드펀딩지원사업,10000000,0,1,0,0,0,0,0,0,0,0 ,,,,0 ,0 ,2 ,0 
0.15397 ,1,0,0,1,2017년 시제품제작 지원사업,8800000,0,0,1,0,0,0,0,0,0,0 ,,,,0 ,0 ,1 ,0 
0.42302 ,1,0,0,1,크라우드펀딩지원사업,10000000,0,1,0,0,0,0,0,0,0,0 ,,,,0 ,0 ,1 ,0 
0.46729 ,1,0,0,1,크라우드펀딩지원사업,10000000,0,1,0,0,0,0,0,0,0,0 ,,,,0 ,0 ,1 ,0 
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
