Date,EAFE
2009-06-01,-1.2407342692708916
2009-06-10,-0.30824506699773735
2009-06-19,-1.9259215025201104
2009-06-30,0.004441169315919163
2009-07-10,6.064527314355052
2009-07-21,1.9545791034785507
2009-07-30,2.141836356450288
2009-08-10,0.16143867292901146
2009-08-19,2.6466424022796464
2009-08-28,-1.301190364673911
2009-09-09,2.252421725324259
2009-09-18,-0.9016298643415476
2009-09-29,-0.1134431941371832
2009-10-09,2.179049454284675
2009-10-20,-2.866274215679596
2009-10-29,-0.8311778327036621
2009-11-09,0.354144264294823
2009-11-18,-0.47162953881717834
2009-11-30,1.4245353746080842
2009-12-09,0.2910677135274416
2009-12-18,0.7571775299917984
2009-12-30,3.1370749963500004
2010-01-12,-0.644793154691358
2010-01-22,0.11390086875827203
2010-02-02,-2.841907989191405
2010-02-11,0.9767631972210626
2010-02-23,2.379492593283731
2010-03-05,0.42001124911077775
2010-03-16,-0.8227330917927073
2010-03-25,2.69204085996773
2010-04-06,0.7059781564658738
2010-04-15,-1.123569103516345
2010-04-26,-1.99188810584685
2010-05-06,3.7690965774003833
2010-05-17,-2.990685346803146
2010-05-27,-2.3478210908672152
2010-06-09,4.426210815337061
2010-06-18,-1.844427687561483
2010-06-29,2.1653781240357963
2010-07-09,0.6364559188414777
2010-07-20,1.0629883873568395
2010-07-29,1.0413379150304183
2010-08-09,-3.13558510527722
2010-08-18,-1.796839172558195
2010-08-27,1.5061875649493488
2010-09-08,1.2401396197288463
2010-09-17,1.5306827426345864
2010-10-01,0.6844610445037752
2010-10-12,0.8593891792508945
2010-10-21,-0.2708677153662692
2010-11-01,2.8579013370546735
2010-11-10,-2.5716198840996456
2010-11-19,-2.157591709441037
2010-12-01,1.5756625405577442
2010-12-10,0.5424378881739964
2010-12-21,0.35535806273135717
2011-01-03,-1.640560028392037
2011-01-12,0.773687709230694
2011-01-24,0.6241682710128471
2011-02-07,0.44747231542297444
2011-02-16,-0.4680893101017544
2011-02-28,-0.28322744886080026
2011-03-10,-2.5032327849297693
2011-03-21,0.5592058363620969
2011-03-30,0.20770962972062823
2011-04-08,-0.9264957488446415
2011-04-19,4.494884101466932
2011-04-29,-1.0815926148927215
2011-05-12,-0.8547197150054574
2011-05-23,2.5897636052901003
2011-06-02,-0.9493878537227246
2011-06-14,-1.9553194629177637
2011-06-23,2.1373187925383954
2011-07-05,-1.849016902677831
2011-07-14,1.160608001374697
2011-07-25,-2.7735912592599266
2011-08-03,-5.64327367704831
2011-08-12,-1.0017152446153972
2011-08-24,0.0024727346314112396
2011-09-02,-2.8081607686130714
2011-09-16,-4.1828411687472205
2011-09-27,-1.0364041985126176
2011-10-07,4.4527610476095925
2011-10-18,0.23731960764115934
2011-10-27,-4.441259751761107
2011-11-07,-0.6732093878528572
2011-11-16,-2.3916026527520873
2011-11-28,3.168005903151789
2011-12-07,-3.448762781052037
2011-12-16,0.6862161701339633
2011-12-28,1.871577263628787
2012-01-10,-0.1501038741768121
2012-01-20,0.6338119879067858
2012-02-02,0.43526849758393504
2012-02-13,0.2640653400205364
2012-02-23,-0.08805678531121
2012-03-06,1.9949175432135966
2012-03-15,-0.31385874309438444
2012-03-26,-0.6628523752557987
2012-04-04,-0.6312351991025771
2012-04-17,-0.804384546827853
2012-04-26,-1.6891415933078955
2012-05-08,-0.933534992731623
2012-05-17,0.7400347371891414
2012-05-29,-2.372930072258193
2012-06-08,0.7256179696400001
2012-06-19,-3.4077115221030914
2012-06-28,3.2980681153576072
2012-07-10,0.18553231481273172
2012-07-19,-3.2246065925480494
2012-07-30,0.59814551732227
2012-08-08,0.48178782066033465
2012-08-20,0.26403356833740543
2012-08-29,1.3183432358096325
2012-09-10,2.83022558160514
2012-09-19,-1.7648754091567909
2012-09-28,1.3487629918364867
2012-10-11,2.7567043069338313
2012-10-22,-1.3234776472418697
2012-11-02,-0.003276796010911376
2012-11-13,0.6492866778062361
2012-11-23,0.5112754809035068
2012-12-04,1.007658540197659
2012-12-13,1.0942027718701415
2012-12-24,0.8268961768268739
2013-01-07,0.650509450395691
2013-01-16,1.8042270428916256
2013-01-28,0.4878063072429154
2013-02-06,-0.1782906682828769
2013-02-15,0.4687741340519591
2013-02-27,1.332559879640476
2013-03-11,0.06201136548375457
2013-03-20,-0.2894510945071249
2013-04-01,1.231233875039514
2013-04-10,-0.27563190498357565
2013-04-19,3.5277122184638907
2013-04-30,1.2206813011934718
2013-05-10,0.5684177687388138
2013-05-22,-2.2272267751300068
2013-06-03,-0.7034085907993182
2013-06-13,-1.4915000436178034
2013-06-24,0.8588864379636539
2013-07-03,2.82165192968083
2013-07-15,0.9265978102736456
2013-07-24,-0.42103955169121904
2013-08-02,-0.21424450265464745
2013-08-13,-0.8295893065825674
2013-08-27,-0.4271185004586103
2013-09-06,1.7014362927564
2013-09-17,1.6323495764366727
2013-09-26,-0.7622527566150028
2013-10-08,3.2290610051273516
2013-10-18,0.47476226336443156
2013-10-29,-0.7195204462597381
2013-11-07,1.0015406692670732
2013-11-18,-0.3249295758982545
2013-11-27,-0.9877691665783835
2013-12-09,-0.5941520381728853
2013-12-18,1.6533218892452204
2013-12-30,-0.503999697560354
2014-01-10,0.036223916578429334
2014-01-22,-2.7058239385769416
2014-02-04,3.6883835290407854
2014-02-13,1.0194159311012185
2014-02-25,-0.060441509606522975
2014-03-06,-1.9618273297944306
2014-03-17,0.027176138054367742
2014-03-26,1.2226739048166901
2014-04-04,-0.2047213711447094
2014-04-15,1.7570790841922355
2014-04-25,1.0856264606090686
2014-05-09,0.6187717562949219
2014-05-20,1.5419872937391368
2014-05-30,0.6539042377694325
2014-06-12,0.8379718013016985
2014-06-23,-1.4833476852838163
2014-07-02,-0.8429178905464244
2014-07-14,-0.09094027006921844
2014-07-23,-0.6604383167820702
2014-08-01,-0.1191254999826396
2014-08-12,1.3706545701623274
2014-08-22,0.4502111401004114
2014-09-03,-1.0109878697465484
2014-09-12,0.008613984776044116
2014-09-23,-1.0599574088507469
2014-10-02,-2.4526441926337723
2014-10-15,1.422590631299459
2014-10-24,0.9468681493298039
2014-11-04,0.19281304788515785
2014-11-13,0.049023310578311996
2014-11-24,0.14906770797448374
2014-12-04,-2.248519087605366
2014-12-15,1.5870362315723239
2014-12-24,-3.4813005639350476
2015-01-07,0.7282797993748034
2015-01-16,1.1461863216025183
2015-01-28,1.4503714234165785
2015-02-06,0.48602576690066146
2015-02-23,0.24135907561802006
2015-03-04,-1.3176322722209275
2015-03-13,2.543026874403432
2015-03-24,-0.8282039225003103
2015-04-02,0.7772487300694533
2015-04-14,0.2824940968660105
2015-04-23,0.3202120507238185
2015-05-06,1.3769330019697124
2015-05-15,-0.2490718998554869
2015-05-27,-0.30551559035179915
2015-06-05,1.1356511295097946
2015-06-16,1.5418711630362838
2015-06-25,-1.6623389591862368
2015-07-07,1.9369610424187218
2015-07-16,-0.633711726088936
2015-07-27,1.3368320505962499
2015-08-05,-0.4119000478143256
2015-08-14,-4.406135120378574
2015-08-25,2.723637478803943
2015-09-03,-0.8382822449212919
2015-09-15,-0.00958628515531314
2015-09-24,2.510769257459567
2015-10-07,0.409743591838137
2015-10-19,1.0461809629972338
2015-10-28,-0.37267164349919274
2015-11-06,-1.219796087829954
2015-11-17,0.9256093406241166
2015-11-27,0.28816601476793796
2015-12-08,-0.6289391711084535
2015-12-17,-0.391494310856509
2015-12-29,-3.673714112880081
2016-01-11,-1.7593951878087322
2016-01-21,2.7776370182342736
2016-02-01,-3.8276982232757315
2016-02-16,1.3163517729182144
2016-02-25,0.8264309143730661
2016-03-08,1.0884069819350761
2016-03-17,-0.7187467750142426
2016-03-29,-1.2940973434572807
2016-04-07,4.086401065284844
2016-04-19,-0.5574942009148144
2016-04-28,-0.5111087387666577
2016-05-11,-0.35540216134571023
2016-05-20,1.6575766488589525
2016-06-01,0.5523956483802089
2016-06-13,1.3406666484846503
2016-06-22,-2.2766170039541573
2016-07-01,-0.1825150382555624
2016-07-13,0.21713288899160546
2016-07-22,0.5725235549413755
2016-08-02,0.7595035889957652
2016-08-11,0.07165441541921741
2016-08-23,-0.6369431753115835
2016-09-01,1.021428512362921
2016-09-13,1.8167727855125257
2016-09-27,0.08952306299772504
2016-10-07,-0.5128569911462627
2016-10-18,0.17369184208391308
2016-10-27,-0.6064464403480568
2016-11-07,-0.04747837527608842
2016-11-16,0.393309052648772
2016-11-28,1.4530993948033704
2016-12-07,0.39141803089447713
2016-12-16,-0.31004042314298436
2016-12-28,1.9677036028510497
2017-01-10,0.6377533401021032
2017-01-20,1.0701197913460752
2017-02-02,0.11497401485244133
2017-02-13,0.37596301801242615
2017-02-23,-0.22539885433191398
2017-03-07,1.1845302149138084
2017-03-16,-0.008013168330258473
2017-03-27,0.2629102896517762
2017-04-05,-0.10082883414742215
2017-04-17,2.0203663091174398
2017-04-26,1.4716018887346192
2017-05-11,0.7932869821503016
2017-05-22,-0.10162115636979817
2017-06-01,0.03903517746191027
2017-06-13,-0.8894661767845351
2017-06-22,0.7686813180973101
2017-07-03,0.01322309698602987
2017-07-13,0.8324163234025116
2017-07-24,1.0702377289257465
2017-08-02,-0.3304554563814846
2017-08-11,0.9587697304298931
2017-08-23,0.3793375815148106
2017-09-01,0.7288652331108588
2017-09-13,0.45454888731315224
2017-09-22,0.5785461935167352
2017-10-11,0.25091945961159107
2017-10-20,-0.2353494890389091
2017-10-31,0.3126536202810129
2017-11-09,-0.23642430932625114
2017-11-20,1.5071816014085
2017-11-30,-0.4648883399198809
2017-12-11,0.46928712166011427
2017-12-20,0.8463033925547407
2018-01-03,0.7060308647225857
2018-01-12,0.47518550703419926
2018-01-23,-0.6582860183648739
2018-02-01,-4.812631642748155
2018-02-12,1.0585150322572239
2018-02-23,-1.6866011186007894
2018-03-07,0.4518225434319399
2018-03-16,-2.654625024137475
2018-03-27,0.6950099658450877
2018-04-06,0.6300814404457339
2018-04-17,-0.21297286022288522
2018-04-26,-0.37801460373417184
2018-05-09,0.383188387342047
2018-05-18,-2.4720801159606123
2018-05-30,-0.04137230636827973
2018-06-11,-3.378363842761906
2018-06-21,-0.39908736679512546
2018-07-02,0.695903120335711
2018-07-12,0.16699092466910717
2018-07-23,0.5125836398047865
2018-08-01,-0.7179544644680557
2018-08-10,-0.40068486706166717
2018-08-22,-0.356317274569928
2018-08-31,-1.5456155864816228
2018-09-11,1.073022849253229
2018-09-20,-1.6995373160631737
2018-10-05,-2.4179085767429878
2018-10-17,-2.8384899467692333
2018-10-26,2.314984640858284
2018-11-06,-0.5505897668233928
2018-11-15,-0.8826038787190328
2018-11-26,-0.35470363460659
2018-12-05,-1.0882396000520511
2018-12-14,-3.043219832537027
