,0,
0,-0.004188676,100
1,-0.019626706,99.58113239
2,0.01371811,97.62668277
3,-0.039556145,98.96593637
4,0.119719017,95.05122545
5,0.033028919,106.4306647
6,0.023753613,109.9459546
7,0.004437325,112.5575682
8,0.042547494,113.0570227
9,0.035523931,117.8673156
10,0.04357992,122.054426
11,-0.010649295,127.3735481
12,0.02914126,126.0171096
13,0.026956336,129.689407
14,-0.024754647,133.1853582
15,0.04173626,129.8884017
16,0.015065793,135.3094577
17,-0.012225838,137.3480021
18,0.009458835,135.6688077
19,0.007121522,136.9520766
20,0.023377007,137.9273839
21,0.024228627,141.1517133
22,-0.039414554,144.5716254
23,0.009818046,138.8733993
24,-0.019063386,140.2368647
25,0.015278318,137.5634752
26,0.061684112,139.6652137
27,0.018793858,148.2803384
28,0.001226434,151.067098
29,0.068037653,151.2523718
30,0.019169879,161.5432282
31,-7.13E-05,164.6399923
32,-0.070396714,164.6282585
33,0.031763903,153.0389701
34,-0.014393631,157.9000852
35,-0.039603407,155.6273297
36,0.079325608,149.4639572
37,-0.060267735,161.3202765
38,0.068272881,151.5978687
39,0.004678017,161.9478919
40,0.035725159,162.7054869
41,0.032716555,168.5181663
42,-0.021258156,174.0315001
43,-0.022956629,170.3319113
44,0.032633095,166.4216649
45,0.027482515,171.8525188
46,0.054620456,176.5754583
47,0.021150436,186.2200903
48,0.00905405,190.1587264
49,0.012736581,191.880433
50,0.029704272,194.3243337
51,-0.011826327,200.0965966
52,0.005816328,197.7301889
53,0.032095699,198.8802525
54,0.011606724,205.2634532
55,0.033008602,207.6458894
56,0.011911794,214.49999
57,0.015251128,217.0550697
58,0.021589044,220.3654045
59,0.01356648,225.1228829
60,0.000113008,228.1770081
61,-0.006422931,228.202794
62,0.010397629,226.7370632
63,0.045294506,229.0945912
64,0.035698446,239.4713176
65,-0.012252963,248.0200714
66,0.054504523,244.9810906
67,-0.010769505,258.333668
68,-0.022905903,255.5515423
69,0.042427294,249.6979034
70,-0.011044828,260.2919099
71,-0.008107129,257.4170306
72,0.054764985,255.3301175
73,-0.021918987,269.3132675
74,0.030690135,263.4101934
75,-0.045332702,271.4942876
76,-0.06411891,259.1867179
77,-0.000990319,242.5679479
78,0.021489491,242.3277284
79,0.036226628,247.5352278
80,-0.031151866,256.5025945
81,-0.008197467,248.5120599
82,0.07626191,246.4748905
83,0.087471912,265.2715364
84,-0.019073485,288.475345
85,-0.017533833,282.9731148
86,-0.02762385,278.0115113
87,0.062483977,270.3317631
88,-0.034388985,287.2231668
89,0.020531748,277.3458536
90,0.051374813,283.0402487
91,0.047310021,297.5813886
92,0.04161595,311.6599703
93,0.019499377,324.6299959
94,0.016746177,330.9600785
95,-0.014837801,336.5023945
96,0.044616648,331.509439
97,0.005648631,346.3002788
98,-0.01300031,348.2564012
99,0.003049531,343.7289601
100,0.007698617,344.7771723
101,-0.026491284,347.4314796
102,-0.041570888,338.2275737
103,0.020917092,324.1671529
104,-0.004805933,330.947787
105,0.045264909,329.3572741
106,-0.021534512,344.2656012
107,0.018082252,336.8520093
108,0.026442857,342.9430524
109,0.006469622,352.0114465
110,0.02792254,354.2888275
111,0.011789072,364.1814715
112,-0.005510971,368.4748332
113,0.017650038,366.4441791
114,0.043714656,372.9119328
115,-0.01582881,389.2136497
116,0.003639623,383.0528608
117,0.023534454,384.4470287
118,-0.008559905,393.4947797
119,-0.021111538,390.1265019
120,0.038157143,381.8903313
121,0.012776348,396.4621752
122,0.029631198,401.5275138
123,0.007889835,413.4252552
124,0.032643539,416.6871124
125,0.008387732,430.2892542
126,0.021124299,433.898405
127,0.006491068,443.0642048
128,0.006114872,445.9401647
129,-0.002492187,448.6670319
130,0.027052008,447.5488698
131,0.001768091,459.6559654
132,0.000470664,460.4686789
133,0.03222075,460.6854048
134,-0.017093443,475.5290339
135,0.047354146,467.4006056
136,0.023158741,489.5339619
137,0.015187895,500.8709522
138,-0.010112813,508.4781276
139,0.0019534,503.3359836
140,-0.039353171,504.3192
141,0.023975171,484.4726401
142,0.045433422,496.0879542
143,0.013922798,518.6269276
144,0.013702791,525.8476657
145,0.005147469,533.0532464
146,-0.032760577,535.7971215
147,0.068737866,518.2440988
148,0.037499312,553.8670925
149,0.017134596,574.6367274
150,-0.010268648,584.4828955
151,0.053207496,578.4810464
152,0.016197274,609.2605743
153,-0.013472262,619.1289346
154,0.031933333,610.7878673
155,0.008574075,630.2923599
156,0.000508397,635.6965338
157,0.001135172,636.01972
158,0.032530294,636.7417117
159,0.00149312,657.4551065
160,0.004089702,658.4367658
161,-0.049054188,661.129576
162,0.050228129,628.6984012
163,0.016661111,660.2767459
164,0.025536891,671.2776901
165,-0.010015385,688.4200352
166,0.025098585,681.5252437
167,0.033687719,698.630563
168,-0.006000484,722.1658333
169,0.014972092,717.8324886
170,0.018198236,728.5799424
171,0.021906103,741.8388122
172,0.02710689,758.0896095
173,0.023041833,778.6390612
174,0.016906013,796.5803325
175,0.008491879,810.0473303
176,0.006117084,816.9261546
177,0.010582817,821.9233607
178,-0.017038963,830.6216253
179,0.004501044,816.4686939
180,0.028655441,820.1436554
181,0.017147486,843.6452339
182,-0.007187218,858.1116288
183,-0.001397606,851.9441933
184,-0.023367845,850.7535112
185,-0.008485268,830.873235
186,0.053949565,823.8230533
187,0.023628733,868.2679489
188,0.014716337,888.7840207
189,0.022687591,901.8636654
190,0.00137305,922.3247796
191,-0.039768572,923.5911774
192,0.041777074,886.861275
193,-0.010860496,923.9117441
194,0.027373736,913.8776043
195,0.014553406,938.8938484
196,0.026545216,952.5579517
197,0.0361,977.8438086
198,-0.004712346,1013.14397
199,-0.021372084,1008.369686
200,0.052385901,986.8187234
201,0.020403766,1038.514111
202,0.036912318,1059.70371
203,0.018917609,1098.819831
204,-0.010549276,1119.606874
205,0.030498191,1107.795832
206,0.000768716,1141.581601
207,-0.014268136,1142.459153
208,0.002014887,1126.158391
209,0.01141407,1128.427473
210,-0.008878992,1141.307423
211,0.04219587,1131.173764
212,-0.026436057,1178.904625
213,0.024213277,1147.739035
214,-0.00399525,1175.529557
215,-0.0882,1170.833022
216,0.044373741,1067.56555
217,0.016710474,1114.937427
218,-0.023243402,1133.56856
219,0.089761072,1107.22057
220,0.019449384,1206.605875
221,0.027083007,1230.073616
222,0.004978135,1263.387707
223,-0.012843092,1269.677022
224,0.019740402,1253.370444
225,-0.012644317,1278.11248
226,-0.007166313,1261.951621
227,0.014731575,1252.908081
228,-0.074641044,1271.365391
229,-0.028426732,1176.469352
230,0.066300987,1143.026173
231,-0.011637781,1218.809937
232,0.030176389,1204.625694
233,0.059535441,1240.976947
234,0.049515865,1314.859057
235,0.000963368,1379.96544
236,-0.006654242,1381.294855
237,0.079083394,1372.103384
238,-0.01163489,1480.613976
239,-0.005242267,1463.387196
240,-0.005389128,1455.71573
241,0.02623117,1447.870691
242,-0.002608459,1485.850034
243,0.02521827,1481.974255
244,0.02069782,1519.347081
245,0.023424184,1550.794253
246,0.018736132,1587.120343
247,0.005085414,1616.856839
248,0.047094983,1625.079225
249,0.001674491,1701.612304
250,-0.005188904,1704.461639
251,-0.016529787,1695.617351
252,0.042452345,1667.589157
253,0.000727094,1738.382228
254,-0.006706447,1739.646195
255,-0.00281973,1727.979349
256,0.002645307,1723.106914
257,0.022556327,1727.665061
258,0.018484726,1766.634839
259,0.035235564,1799.290601
260,0.007834825,1862.689619
261,-0.009006683,1877.283467
262,0.039822254,1860.375369
263,0.006905648,1934.45971
264,0.028803185,1947.818408
265,0.021727177,2003.921782
266,0.015697353,2047.461345
267,0.002121326,2079.601067
268,0.032848366,2084.01258
269,0.003005494,2152.468988
270,0.004832929,2158.93822
271,0.001240178,2169.372215
272,0.028991786,2172.062623
273,0.023568789,2235.034598
274,0.019491122,2287.711657
275,0.015741079,2332.301724
276,0.004581829,2369.01467
277,-0.002472244,2379.869089
278,0.007078682,2373.985471
279,0.028626423,2390.79016
280,0.019122388,2459.229931
281,0.013764366,2506.25628
282,-0.014048041,2540.75331
283,0.03611165,2505.060703
284,0.012747766,2595.522577
285,0.012585565,2628.609691
286,0.006813259,2661.692229
287,0.017991803,2679.827026
288,0.007936255,2728.041945
289,0.00348229,2749.692382
290,0.004159329,2759.267608
291,0.010860701,2770.744311
292,0.025942101,2800.836537
293,0.004583326,2873.496122
294,0.002470778,2886.666293
295,0.056665924,2893.798603
296,0.032038513,3057.778376
297,0.028088992,3155.74505
298,-0.006006363,3244.386748
299,-0.058929194,3224.899783
300,0.053106893,3034.859037
301,-0.007157733,3196.030971
302,0.009072279,3173.154633
303,-0.026526593,3201.942378
304,0.010224982,3117.005756
305,0.039742218,3148.877084
306,-0.00519312,3274.020443
307,0.011869252,3257.018063
308,0.006120778,3295.676432
309,0.004504652,3315.848536
310,0.02130825,3330.78528
311,-0.011772144,3401.758485
312,-0.011580906,3361.712496
313,0.02633289,3322.780818
314,0.006550666,3410.279241
315,0.016690222,3432.618841
316,0.007341799,3489.910012
317,0.010649918,3515.532228
318,0.014241593,3552.972357
319,-0.004571796,3603.572344
320,0.042257531,3587.097546
321,-0.020111929,3738.679432
322,-0.013153183,3663.487378
323,-0.043273142,3615.300858
324,0.055233049,3458.855431
325,-0.002378953,3649.898562
326,-0.00356214,3641.215627
327,0.018237087,3628.245106
328,-0.024751655,3694.413727
