종목코드,종목명
A005930,삼성전자
A000660,SK하이닉스
A051910,LG화학
A005380,현대차
A068270,셀트리온
A005490,POSCO
A051900,LG생활건강
A207940,삼성바이오로직스
A028260,삼성물산
A017670,SK텔레콤
A035420,NAVER
A055550,신한지주
A012330,현대모비스
A015760,한국전력
A034730,SK
A018260,삼성에스디에스
A096770,SK이노베이션
A105560,KB금융
A032830,삼성생명
A000810,삼성화재
A033780,KT&G
A006400,삼성SDI
A000270,기아차
A003550,LG
A066570,LG전자
A090430,아모레퍼시픽
A086790,하나금융지주
A036570,엔씨소프트
A251270,넷마블
A010950,S-Oil
A011170,롯데케미칼
A316140,우리금융지주
A010130,고려아연
A035720,카카오
A009540,현대중공업
A024110,기업은행
A009150,삼성전기
A030200,KT
A034220,LG디스플레이
A021240,코웨이
A035250,강원랜드
A032640,LG유플러스
A018880,한온시스템
A004020,현대제철
A002790,아모레G
A000720,현대건설
A267250,현대중공업지주
A010140,삼성중공업
A128940,한미약품
A004990,롯데지주
A023530,롯데쇼핑
A005830,DB손해보험
A008930,한미사이언스
A097950,CJ제일제당
A078930,GS
A139480,이마트
A006800,미래에셋대우
A161390,한국타이어
A086280,현대글로비스
A081660,휠라코리아
A036460,한국가스공사
A029780,삼성카드
A271560,오리온
A000120,CJ대한통운
A088980,맥쿼리인프라
A008770,호텔신라
A282330,BGF리테일
A012750,에스원
A005940,NH투자증권
A001040,CJ
A047810,한국항공우주
A001450,현대해상
A009830,한화케미칼
A071050,한국금융지주
A088350,한화생명
A006360,GS건설
A000210,대림산업
A002380,KCC
A004170,신세계
A003490,대한항공
A028050,삼성엔지니어링
A241560,두산밥캣
A000100,유한양행
A003410,쌍용양회
A042660,대우조선해양
A007070,GS리테일
A079440,오렌지라이프
A016360,삼성증권
A008560,메리츠종금증권
A011780,금호석유
A007310,오뚜기
A000060,메리츠화재
A030000,제일기획
A011070,LG이노텍
A069960,현대백화점
A000880,한화
A010620,현대미포조선
A010060,OCI
A047050,포스코인터내셔널
A017800,현대엘리베이
A138930,BNK금융지주
A031430,신세계인터내셔날
A028670,팬오션
A009240,한샘
A294870,HDC현대산업개발
A069620,대웅제약
A047040,대우건설
A026960,동서
A138040,메리츠금융지주
A004370,농심
A064350,현대로템
A039490,키움증권
A003240,태광산업
A020150,일진머티리얼즈
A009420,한올바이오파마
A012450,한화에어로스페이스
A161890,한국콜마
A000150,두산
A181710,NHN엔터테인먼트
A006280,녹십자
A006260,LS
A004800,효성
A051600,한전KPS
A192820,코스맥스
A180640,한진칼
A000670,영풍
A001740,SK네트웍스
A042670,두산인프라코어
A000240,한국타이어월드와이드
A111770,영원무역
A005300,롯데칠성
A010120,LS산전
A214320,이노션
A139130,DGB금융지주
A005440,현대그린푸드
A120110,코오롱인더
A114090,GKL
A034020,두산중공업
A204320,만도
A011790,SKC
A012510,더존비즈온
A018250,애경산업
A003000,부광약품
A000080,하이트진로
A057050,현대홈쇼핑
A073240,금호타이어
A003520,영진약품
A071840,롯데하이마트
A280360,롯데제과
A007700,F&F
A005610,SPC삼립
A003090,대웅
A004000,롯데정밀화학
A001800,오리온홀딩스
A105630,한세실업
A012630,HDC
A005250,녹십자홀딩스
A011210,현대위아
A011200,현대상선
A020000,한섬
A192080,더블유게임즈
A003690,코리안리
A175330,JB금융지주
A115390,락앤락
A185750,종근당
A089590,제주항공
A002350,넥센타이어
A006650,대한유화
A192400,쿠쿠홀딩스
A049770,동원F&B
A001680,대상
A014680,한솔케미칼
A010780,아이에스동서
A023590,다우기술
A267270,현대건설기계
A079160,CJ CGV
A009410,태영건설
A052690,한전기술
A001440,대한전선
A085620,미래에셋생명
A009970,영원무역홀딩스
A079550,LIG넥스원
A069260,휴켐스
A018360,삼성메디슨
A018670,SK가스
A014820,동원시스템즈
A032350,롯데관광개발
A013890,지누스
A039130,하나투어
A284740,쿠쿠홈시스
A103140,풍산
A170900,동아에스티
A298020,효성티앤씨
A001060,JW중외제약
A006040,동원산업
A285130,SK케미칼
A027410,BGF
A003620,쌍용차
A005850,에스엘
A009450,경동나비엔
A008060,대덕전자
A034310,NICE
A002270,롯데푸드
A082640,동양생명
A071320,지역난방공사
A093370,후성
A005690,파미셀
A000070,삼양홀딩스
A001230,동국제강
A093050,LF
A037560,CJ헬로
A145720,덴티움
A020560,아시아나항공
A241590,화승엔터프라이즈
A001430,세아베스틸
A286940,롯데정보통신
A006840,AK홀딩스
A024720,한국콜마홀딩스
A272450,진에어
A034830,한국토지신탁
A005180,빙그레
A112610,씨에스윈드
A271980,제일약품
A226320,잇츠한불
A006390,한일현대시멘트
A025540,한국단자
A004490,세방전지
A001120,LG상사
A003230,삼양식품
A000640,동아쏘시오홀딩스
A145990,삼양사
A003470,유안타증권
A000370,한화손해보험
A001820,삼화콘덴서
A298050,효성첨단소재
A033660,아주캐피탈
A210980,SK디앤디
A007570,일양약품
A000990,DB하이텍
A001720,신영증권
A003540,대신증권
A064960,S&T모티브
A300720,한일시멘트
A053210,스카이라이프
A003850,보령제약
A108670,LG하우시스
A005500,삼진제약
A025860,남해화학
A010090,이마트에브리데이
A033180,필룩스
A019680,대교
A249420,일동제약
A005880,대한해운
A006120,SK디스커버리
A267260,현대일렉트릭
A010050,우리종금
A002240,고려제강
A006060,화승인더
A029530,신도리코
A123890,한국자산신탁
A126560,현대에이치씨엔
A009680,모토닉
A042700,한미반도체
A034120,SBS
A096760,JW홀딩스
A015350,부산가스
A017940,E1
A298000,효성화학
A001520,동양
A003920,남양유업
A002320,한진
A234080,JW생명과학
A002020,코오롱
A183190,아세아시멘트
A011690,유양디앤유
A014830,유니드
A011160,두산건설
A004430,송원산업
A060980,한라홀딩스
A079430,현대리바트
A006490,인스코비
A293480,하나제약
A002390,한독
A017390,서울가스
A033270,유나이티드제약
A002210,동성제약
A002960,한국쉘석유
A138250,엔에스쇼핑
A072710,농심홀딩스
A002620,제일파마홀딩스
A019170,신풍제약
A004690,삼천리
A017810,풀무원
A298040,효성중공업
A000400,롯데손해보험
A058650,세아홀딩스
A192650,드림텍
A003530,한화투자증권
A031440,신세계푸드
A091810,티웨이항공
A009290,광동제약
A016450,한세예스24홀딩스
A033920,무학
A017960,한국카본
A213500,한솔제지
A016800,퍼시스
A009580,무림P&P
A002310,아세아제지
A078520,에이블씨엔씨
A268280,미원에스씨
A002990,금호산업
A001630,종근당홀딩스
A281820,케이씨텍
A070960,용평리조트
A122900,아이마켓코리아
A016580,환인제약
A081000,일진다이아
A016590,신대양제지
A002250,알보젠코리아
A030610,교보증권
A102460,이연제약
A007340,디티알오토모티브
A005720,넥센
A003220,대원제약
A000480,조선내화
A152330,코리아오토글라스
A005810,풍산홀딩스
A008730,율촌화학
A026890,디피씨
A002150,도화엔지니어링
A011280,태림포장
A084690,대상홀딩스
A001510,SK증권
A004380,삼익THK
A001130,대한제분
A003300,한일홀딩스
A011760,현대상사
A036580,팜스코
A000540,흥국화재
A161000,애경유화
A011810,STX
A088260,이리츠코크렙
A002840,미원상사
A101060,SBS미디어홀딩스
A005070,코스모신소재
A037710,광주신세계
A008490,서흥
A101530,해태제과식품
A002100,경농
A136490,선진
A003560,IHQ
A007460,에이프로젠 KIC
A000430,대원강업
A002810,삼영무역
A293940,신한알파리츠
A002780,진흥기업
A007690,국도화학
A002030,아세아
A079980,휴비스
A104700,한국철강
A000050,경방
A001500,현대차증권
A007160,사조산업
A025620,제이준코스메틱
A003070,코오롱글로벌
A008350,남선알미늄
A004360,세방
A035510,신세계 I&C
A025000,KPX케미칼
A000020,동화약품
A004980,성신양회
A033240,자화전자
A214390,경보제약
A092230,KPX홀딩스
A068400,AJ렌터카
A102260,동성코퍼레이션
A001940,KISCO홀딩스
A012580,신세계톰보이
A003120,일성신약
A015360,예스코홀딩스
A003060,에이프로젠제약
A003570,S&T중공업
A195870,해성디에스
A012610,경인양행
A001200,유진투자증권
A272550,삼양패키징
A005680,삼영전자
A003200,일신방직
A000680,LS네트웍스
A095720,웅진씽크빅
A138490,코오롱플라스틱
A004700,조광피혁
A214420,토니모리
A000970,한국주철관
A044820,코스맥스비티아이
A004970,신라교역
A095570,AJ네트웍스
A011930,신성이엔지
A000520,삼일제약
A298690,에어부산
A005420,코스모화학
A007660,이수페타시스
A001880,삼호
A128820,대성산업
A091090,세원셀론텍
A029460,케이씨
A001270,부국증권
A036530,S&T홀딩스
A001250,GS글로벌
A003030,세아제강지주
A027390,한화갤러리아타임월드
A004150,한솔홀딩스
A013580,계룡건설
A004960,한신공영
A016380,동부제철
A007210,벽산
A000700,유수홀딩스
A008040,사조동아원
A016610,DB금융투자
A030790,동양네트웍스
A001780,알루코
A005090,삼광글라스
A001530,동일방직
A008700,아남전자
A028100,동아지질
A123690,한국화장품
A084680,이월드
A210540,디와이파워
A000140,하이트진로홀딩스
A001790,대한제당
A194370,제이에스코퍼레이션
A001390,KG케미칼
A229640,LS전선아시아
A006380,카프로
A068290,삼성출판사
A075580,세진중공업
A012690,모나리자
A282690,동아타이어
A002460,화성산업
A004870,티웨이홀딩스
A000860,강남제비스코
A030210,KTB투자증권
A010600,웰바이오텍
A016880,웅진
A015860,일진홀딩스
A306200,세아제강
A002450,삼익악기
A012030,DB
A035150,백산
A005960,동부건설
A015890,태경산업
A007110,일신석재
A005740,크라운해태홀딩스
A009160,SIMPAC
A039570,HDC아이콘트롤스
A200880,서연이화
A044450,KSS해운
A000320,노루홀딩스
A071970,STX중공업
A012670,환영철강공업
A067830,세이브존I&C
A009460,한창제지
A077500,유니퀘스트
A077970,STX엔진
A009270,신원
A004310,현대약품
A267290,경동도시가스
A003350,한국화장품제조
A090350,노루페인트
A004710,한솔테크닉스
A000390,삼화페인트
A004560,현대비앤지스틸
A002700,신일산업
A082740,HSD엔진
A008970,동양철관
A014790,한라
A006220,제주은행
A000890,보해양조
A001460,BYC
A002170,삼양통상
A004060,SG세계물산
A001360,삼성제약
A017900,광전자
A092200,디아이씨
A117580,대성에너지
A143210,핸즈코퍼레이션
A267850,아시아나IDT
A069460,대호에이엘
A084010,대한제강
A074610,나노메딕스
A004200,고려개발
A005950,이수화학
A013520,화승알앤에이
A004250,NPC
A013570,디와이
A003460,유화증권
A004440,대림씨엔에스
A001290,골든브릿지증권
A003580,넥스트사이언스
A033530,세종공업
A100250,진양홀딩스
A000180,성창기업지주
A089470,HDC현대EP
A003830,대한화섬
A011330,유니켐
A007810,코리아써키트
A078000,텔코웨어
A013870,지엠비코리아
A004890,동일산업
A003650,미창석유
A101140,아티스
A000230,일동홀딩스
A002760,보락
A017180,명문제약
A000490,대동공업
A005430,한국공항
A144620,코오롱머티리얼
A248170,샘표식품
A035000,지투알
A019440,세아특수강
A009470,삼화전기
A010040,한국내화
A009200,무림페이퍼
A005390,신성통상
A264900,크라운제과
A004840,DRB동일
A010820,퍼스텍
A024090,디씨엠
A092220,KEC
A001260,남광토건
A005870,휴니드
A102280,쌍방울
A085310,엔케이
A034590,인천도시가스
A007980,태평양물산
A003960,사조대림
A014990,인디에프
A014160,대영포장
A227840,현대코퍼레이션홀딩스
A032560,황금에스티
A097230,한진중공업
A011390,부산산업
A027740,마니커
A003160,디아이
A009320,대우부품
A007630,폴루스바이오팜
A010960,삼호개발
A003480,한진중공업홀딩스
A094280,효성ITX
A014530,극동유화
A001340,백광산업
A002880,대유에이텍
A023000,삼원강재
A002360,SH에너지화학
A063160,종근당바이오
A103590,일진전기
A034300,신세계건설
A058430,포스코강판
A130660,한전산업
A053690,한미글로벌
A008250,이건산업
A001470,삼부토건
A005800,신영와코루
A037270,YG PLUS
A012200,계양전기
A009440,KC그린홀딩스
A092440,기신정기
A025750,한솔홈데코
A014280,금강공업
A058730,다스코
A002600,조흥
A214330,금호에이치티
A002900,동양물산
A000650,천일고속
A002630,오리엔트바이오
A016090,대현
A017370,우신시스템
A016710,대성홀딩스
A005110,한창
A001550,조비
A014710,사조씨푸드
A002720,국제약품
A017040,광명전기
A009280,다함이텍
A075180,새론오토모티브
A007540,샘표
A012160,영흥철강
A023800,인지컨트롤스
A001890,에이치디씨영창
A120030,조선선재
A001570,금양
A011090,에넥스
A001380,SG충방
A111110,호전실업
A003080,성보화학
A119650,KC코트렐
A006340,대원전선
A007860,서연
A025560,미래산업
A004450,삼화왕관
A009070,KCTC
A058850,KTcs
A020760,일진디스플
A105840,우진
A000300,대유플러스
A011000,진원생명과학
A004080,신흥
A100840,S&TC
A007590,동방아그로
A023450,동남합성
A004720,우리들제약
A016740,두올
A003610,방림
A012320,경동인베스트
A107590,미원홀딩스
A008690,한양
A000040,KR모터스
A000850,화천기공
A134380,미원화학
A009770,삼정펄프
A002300,한국제지
A005750,대림B&Co
A058860,케이티스
A010400,우진아이엔에스
A041650,상신브레이크
A005010,휴스틸
A163560,동일고무벨트
A100220,비상교육
A069640,한세엠케이
A004910,조광페인트
A012800,대창
A133820,화인베스틸
A010690,화신
A055490,테이팩스
A145210,세화아이엠씨
A004540,깨끗한나라
A001750,한양증권
A006370,대구백화점
A006980,우성사료
A017550,수산중공업
A002200,수출포장
A006090,사조오양
A004770,써니전자
A010770,평화홀딩스
A011150,CJ씨푸드
A014580,백광소재
A084670,동양고속
A134790,시디즈
A047400,유니온머티리얼
A009310,참엔지니어링
A015230,대창단조
A006660,삼성공조
A006740,영풍제지
A000220,유유제약
A004090,한국석유
A008600,윌비스
A014440,영보화학
A021820,세원정공
A015590,큐로
A005190,동성화학
A011700,한신기계
A090080,평화산업
A002920,유성기업
A013360,일성건설
A001070,대한방직
A031820,콤텍시스템
A000500,가온전선
A007610,선도전기
A001080,만호제강
A155660,DSR
A090370,메타랩스
A006890,태경화학
A000590,CS홀딩스
A069730,DSR제강
A083420,그린케미칼
A024890,대원화성
A008870,금비
A129260,인터지스
A008260,NI스틸
A092780,동양피스톤
A002820,선창산업
A079660,사조해표
A003010,혜인
A001020,페이퍼코리아
A004270,남성
A009810,엔케이물산
A013700,까뮤이앤씨
A018470,조일알미늄
A001560,제일연마
A009190,대양금속
A012280,영화금속
A011500,한농화성
A006570,대림통상
A025820,이구산업
A001490,천지산업
A004410,서울식품
A007280,한국특수형강
A008420,문배철강
A000910,유니온
A118000,우리들휴브레인
A014910,성문전자
A026940,부국철강
A049800,우진플라임
A012170,키위미디어그룹
A004140,동방
A014130,한익스프레스
A001620,동국실업
A093240,형지엘리트
A023350,한국종합기술
A002710,TCC동양
A088790,진도
A002140,고려산업
A021050,서원
A000760,이화산업
A072130,유엔젤
A084870,TBH글로벌
A006880,신송홀딩스
A023810,인팩
A123700,SJM
A005360,모나미
A051630,진양화학
A003280,흥아해운
A002220,한일철강
A010100,한국프랜지
A006110,삼아알미늄
A004830,덕성
A010660,화천기계
A023150,MH에탄올
A009140,경인전자
A025530,SJM홀딩스
A002870,신풍제지
A004100,태양금속
A003780,진양산업
A002690,동일제강
A002410,범양건영
A027970,세하
A071090,하이스틸
A155900,바다로19호
A020120,키다리스튜디오
A093230,이아이디
A019180,티에이치엔
A002070,남영비비안
A024900,덕양산업
A023960,에쓰씨엔지니어링
A001420,태원물산
A145270,케이탑리츠
A109070,컨버즈
A015260,에이엔피
A024070,WISCOM
A013000,세우글로벌
A011420,갤럭시아에스엠
A071950,코아스
A044380,주연테크
A005820,원림
A030720,동원수산
A007120,미래아이앤지
A005900,동양건설산업
A009180,한솔로지스틱스
A172580,하이골드12호
A006200,한국전자홀딩스
A001140,국보
A015540,메디파트너생명공학
A008110,대동전자
A018500,동원금속
A001210,금호전기
A005320,국동
A005450,신한
A011230,삼화전자
A010580,지코
A140890,트러스제7호
A003680,한성기업
A011300,성안
A000950,전방
A153360,하이골드3호
A010420,한솔PNS
A015020,이스타코
A004920,씨아이테크
A002420,세기상사
A103130,웅진에너지
A001770,신화실업
A003720,삼영화학
A204210,모두투어리츠
A012600,청호컴넷
A008500,일정실업
A159650,하이골드8호
A140910,에이리츠
A002580,삼미
A010640,진양폴리
A033250,체시스
A005030,부산주공
A013090,인켈
A025890,한국주강
A019490,하이트론
A008120,엠소닉
A083380,동북아13호
A083370,동북아12호
A002470,신영건설
A001970,SG신성건설
A012760,동아
A003260,서광
A000010,조흥은행
A000030,우리은행
A000110,제일은행
A000200,대우중공업
A000280,동아건설
A000310,해태제과
A000360,삼환기업
A000420,로케트전기
A000470,그린손해보험
A000610,제일화재
A000790,씨앤상선
A000800,경남기업
A000830,삼성물산
A000840,한국벨트
A000900,강원산업
A000980,극동건설
A001030,리젠트화재
A001110,대농
A001150,서통
A001190,마이크로닉스
A001280,우리증권
A001300,제일모직
A001310,풍림산업
A001350,대한모방
A001370,FnC코오롱
A001400,동산씨앤지
A001580,신광기업
A001590,일화모직공업
A001600,서광건설
A001670,경남모직
A001690,두산테크팩
A001830,동부일렉트로닉스
A001920,한보철강
A001950,남한제지
A001980,대호
A002000,한국유리
A002050,경향건설
A002080,벽산개발
A002130,피어리스
A002180,삼익건설
A002530,벽산건설
A002540,고제
A002550,KB손해보험
A002610,LGEI
A002740,동양화학
A002850,영풍산업
A002860,하나은행
A002930,삼도물산
A002940,경동산업
A002950,두산건설
A003020,남양
A003040,한일약품
A003050,넥상스코리아
A003110,대일화학
A003190,알앤엘바이오
A003320,신한증권
A003330,하나증권
A003450,현대증권
A003590,광덕물산
A003600,SK
A003640,유니온스틸
A003660,고려시멘트
A003810,대우
A003900,해태유업
A003930,부흥
A003940,삼양제넥스
A003980,한일합섬
A003990,BHK
A004010,롯데미도파
A004110,대선주조
A004130,대덕GDS
A004190,스마텔
A004230,세신
A004290,아이케이
A004390,오리온전기
A004420,동국무역
A004460,고합
A004510,디와이홀딩스
A004530,SY
A004550,대우송도개발
A004620,캠브리지코오롱
A004660,신동방CP
A004730,진로종합식품
A004740,보루네오
A004820,조인에너지
A004940,외환은행
A005060,대우통신
A005270,대구은행
A005280,부산은행
A005330,카스코
A005350,봉신
A005410,신광산업
A005560,JS전선
A005580,삼익주택
A005600,중앙제지
A005620,대성합동지주
A005760,위너스인프라인
A005770,광주은행
A005790,만도기계
A005890,동원증권
A005980,성지건설
A006070,기린
A006150,한메NS
A006160,신화건설
A006210,휴리프
A006250,극동전선
A006290,인천정유
A006350,전북은행
A006440,한일건설
A006600,동신제약
A006610,경남은행
A006750,센추리
A007050,유리이에스
A007100,호남식품
A007190,한솔아트원제지
A007200,진흥저축은행
A007360,하나은행
A007410,대우전자
A007420,해동금고
A007480,대한은박지
A007490,태창기업
A007800,솔로몬저축은행
A007910,세원화성
A008000,도레이케미칼
A008020,경남에너지
A008080,에스와이코퍼레이션
A008270,산은캐피탈
A008320,한국기술산업
A008400,C&중공업
A008440,아이넥스
A008480,KEP전자
A008530,일은증권
A008540,케이비물산
A008640,우성건설
A008670,굿모닝신한증권
A008720,삼양엔텍
A008750,범양식품
A008900,티이씨앤코
A008980,동양현대종금
A008990,중앙종금
A009050,대한알미늄
A009080,퍼시픽글라스
A009330,삼애인더스
A009360,베네데스하이텍
A009380,아세아페이퍼텍
A009690,케이엠에이치
A009720,전기초자
A009760,한국컴퓨터지주
A009790,휴닉스
A009840,갑을
A009890,맥슨텔레콤
A009940,대아리드선
A010110,고려화학
A010150,포스코티엠씨
A010200,극동제혁
A010330,라미화장품
A010460,화인자산관리
A010510,일진
A010520,현대하이스코
A010730,금강화섬
A011020,코오롱유화
A011050,케드콤
A011260,한국종금
A011290,갑을방적
A011400,케이씨오에너지
A011450,송원칼라
A011510,청구
A011650,LG정보
A011720,현대페인트
A011800,배명금속
A011840,계몽사
A012090,성원건설
A012250,셰프라인
A012260,이지닷컴
A012270,동신
A012400,허메스홀딩스
A012410,글로스텍
A012420,메리츠종금
A012710,한스종금
A012720,건영
A012990,LG석유화학
A013200,C&우방
A013240,셀런
A013250,대양금고
A014010,인터피온반도체
A014040,GPS
A014080,뉴맥스
A014300,선진지주
A014350,신일건업
A014590,티엘씨레저
A014740,금호케미칼
A014900,삼보컴퓨터
A015110,중앙건설
A015580,신한은행
A015620,현대울산종금
A015650,리젠트종금
A015670,AP우주통신
A015880,태화쇼핑
A015940,LG데이콤
A016160,오라바이오틱스
A016390,나라종금
A016420,NH농협증권
A016510,현대DSF
A016550,한별텔레콤
A016560,서울저축은행
A016570,태평양제약
A016830,한미은행
A016970,씨크롭
A017120,바로크
A017170,훈영
A017300,에이치비이에너지
A017320,태일정밀
A018020,스타리스
A018410,현대금속
A018550,한국안전유리
A018570,선진금속
A018590,KNC
A019300,태림페이퍼
A019930,기라정보통신
A021960,KB캐피탈
A022520,코오롱아이넷
A023130,국민은행
A024100,제일저축은행
A024870,유성티에스아이
A024960,영남종금
A025610,한국저축은행
A025830,한국합섬
A025840,레이디
A025850,한화화인케미칼
A025930,팬택
A026870,코원에너지서비스
A027460,주택은행
A027840,고덴시
A030710,동아금고
A032390,KTF
A032710,LG카드
A037620,미래에셋증권
A038400,외환카드
A042100,현대오토넷
A045710,온미디어
A045820,LG파워콤
A051310,포스코플랜텍
A053000,우리금융
A060000,국민은행
A063350,팬택앤큐리텔
A063510,코오롱인터
A064420,케이피케미칼
A064900,교보메리츠
A067250,STX조선해양
A067910,코크렙1
A068870,LG생명과학
A069470,제로원인터랙티브
A070540,코크렙II
A072450,리얼티1
A073470,유레스메리츠1
A073530,코크렙III
A076170,GBS
A076850,맥쿼리센트럴
A078420,동북아1호
A080030,동북아2호
A080180,아시아1호
A080410,동북아6호
A080960,동북아3호
A080970,동북아4호
A080980,동북아5호
A081190,아시아2호
A081200,아시아3호
A081210,아시아4호
A081930,아시아8호
A081940,아시아9호
A082110,동북아8호
A082240,아시아5호
A082250,아시아6호
A082260,아시아7호
A083120,동북아9호
A083350,동북아10호
A083360,동북아11호
A083390,동북아14호
A083570,아시아10호
A083580,아시아11호
A083590,아시아12호
A083600,아시아13호
A083610,아시아14호
A083620,아시아15호
A084240,동북아15호
A086720,코크렙7호
A088010,동북아21호
A089170,동북아27호
A089180,동북아28호
A089190,동북아29호
A089200,동북아30호
A090540,코크렙8호
A090970,코리아01호
A090980,코리아02호
A090990,코리아03호
A091000,코리아04호
A092630,바다로3호
A092970,거북선1호
A093400,코리아05호
A093410,코리아06호
A093730,동북아31호
A099210,코리아07호
A101380,거북선2호
A101790,케이알제2호
A101990,파브코
A102000,거북선3호
A103150,하이트맥주
A103160,풀무원
A104110,신성이엔지
A104120,신성에프에이
A105380,다산리츠
A108070,삼성이미징
A108890,거북선4호
A110570,넥솔론
A114130,거북선5호
A114140,거북선6호
A114410,현대푸드
A117930,한진해운
A119250,에프지엔개발리츠
A121550,코크렙15호
A121910,대우증권스팩
A122290,동양밸류스팩
A122750,우리스팩1호
A134000,거북선7호
A138440,이코리아리츠
A139200,하이골드2호
A149130,케이비부국위탁리츠
A192520,경남은행
A192530,광주은행
A307950,현대오토에버
